                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                0.71726,                0.40589,                 1.0202,                0.93828,                0.89647,                0.97145,                0.78726,                0.78983,                0.44816,                 1.0141,               0.001766,               0.001766,               0.001766
                     67,                0.72514,                0.40869,                 1.0316,                0.93252,                0.92629,                 0.9745,                0.76652,                0.81691,                0.47232,                 1.0178,              0.0017624,              0.0017624,              0.0017624
                     68,                0.69745,                0.39848,                 1.0313,                0.93358,                0.93857,                0.97684,                0.78722,                0.77874,                0.42434,                 1.0016,              0.0017588,              0.0017588,              0.0017588
                     69,                0.71685,                0.40585,                 1.0246,                0.90892,                0.93178,                0.97381,                0.78422,                0.80275,                0.45767,                 1.0087,              0.0017552,              0.0017552,              0.0017552
                     70,                0.71397,                0.40807,                 1.0198,                 0.9285,                0.92383,                0.97241,                0.77171,                0.79318,                0.43182,                 1.0051,              0.0017516,              0.0017516,              0.0017516
                     71,                0.68848,                0.39589,                 1.0213,                0.91582,                 0.9312,                0.96694,                0.76363,                0.79837,                0.45445,                 1.0143,               0.001748,               0.001748,               0.001748
                     72,                0.71437,                0.40683,                 1.0261,                0.93016,                0.94103,                 0.9716,                0.77602,                 0.7951,                0.44519,                 1.0078,              0.0017444,              0.0017444,              0.0017444
                     73,                0.70135,                0.39981,                  1.026,                0.94757,                0.92383,                0.97608,                0.77919,                0.79037,                0.41918,                  1.008,              0.0017408,              0.0017408,              0.0017408
                     74,                0.70572,                0.39245,                 1.0147,                0.93587,                0.93231,                0.96978,                0.77414,                0.80903,                0.45292,                  1.013,              0.0017372,              0.0017372,              0.0017372
                     75,                0.71635,                0.40066,                 1.0261,                0.93563,                0.92856,                0.97533,                0.77993,                0.80013,                0.45545,                 1.0143,              0.0017336,              0.0017336,              0.0017336
                     76,                 0.6902,                0.38695,                0.99892,                  0.926,                0.92238,                0.96344,                0.77539,                0.80477,                0.46081,                 1.0163,                0.00173,                0.00173,                0.00173
                     77,                0.69393,                0.39498,                 1.0076,                0.92834,                0.91155,                0.96577,                0.77669,                0.79884,                0.45735,                  1.007,              0.0017264,              0.0017264,              0.0017264
                     78,                0.69743,                 0.3943,                 1.0081,                0.93601,                0.91892,                 0.9709,                0.78558,                0.77737,                0.43472,                      1,              0.0017228,              0.0017228,              0.0017228
                     79,                 0.7034,                0.39169,                 1.0199,                0.92558,                0.94729,                0.97312,                0.78026,                0.78631,                 0.4488,                  1.008,              0.0017192,              0.0017192,              0.0017192
                     80,                0.69703,                 0.3929,                 1.0056,                0.92727,                0.92629,                0.96633,                0.77593,                 0.7833,                0.46127,                0.99879,              0.0017156,              0.0017156,              0.0017156
                     81,                 0.6938,                0.38398,                 1.0146,                 0.9246,                0.93395,                 0.9718,                0.78498,                0.79051,                0.43699,                 1.0123,               0.001712,               0.001712,               0.001712
                     82,                 0.7016,                0.39079,                 1.0225,                0.90745,                0.94349,                0.96955,                0.77932,                 0.7919,                0.45374,                 1.0021,              0.0017084,              0.0017084,              0.0017084
                     83,                0.67545,                0.38139,                 1.0013,                  0.933,                0.92387,                0.97063,                 0.7749,                0.80248,                0.44816,                 1.0054,              0.0017048,              0.0017048,              0.0017048
                     84,                0.68581,                0.38887,                 1.0224,                 0.9314,                0.92138,                0.96799,                0.78022,                0.78913,                0.44876,                 1.0096,              0.0017012,              0.0017012,              0.0017012
                     85,                0.68891,                0.39319,                 1.0157,                0.92238,                0.93432,                0.97064,                0.77816,                0.79313,                0.45701,                 1.0047,              0.0016976,              0.0016976,              0.0016976
                     86,                0.67716,                0.38772,                 1.0056,                0.93751,                 0.9312,                 0.9755,                0.77999,                 0.7956,                0.43142,                      1,               0.001694,               0.001694,               0.001694
                     87,                0.67641,                0.38015,                 0.9934,                0.92864,                 0.9272,                0.97462,                0.78793,                0.79576,                0.42831,                 1.0031,              0.0016904,              0.0016904,              0.0016904
                     88,                0.68039,                0.37734,                0.99057,                0.94267,                0.94103,                0.97634,                0.77795,                0.79991,                0.42926,                  1.004,              0.0016868,              0.0016868,              0.0016868
                     89,                0.67364,                0.37414,                0.99899,                0.92982,                 0.9312,                0.97537,                0.78635,                0.79228,                 0.4265,                 1.0075,              0.0016832,              0.0016832,              0.0016832
                     90,                0.67656,                0.38143,                 1.0088,                0.92188,                0.94349,                0.97246,                0.78195,                0.79264,                0.42726,                  1.001,              0.0016796,              0.0016796,              0.0016796
                     91,                0.67679,                0.38528,                0.99862,                0.93494,                 0.9312,                0.97419,                0.78576,                0.77275,                0.42269,                0.99806,               0.001676,               0.001676,               0.001676
                     92,                0.66419,                0.38138,                0.99465,                0.91015,                0.94349,                0.97395,                 0.7783,                 0.7864,                0.43596,                0.99731,              0.0016724,              0.0016724,              0.0016724
                     93,                0.70066,                0.38771,                 1.0201,                0.91856,                0.94349,                0.97249,                0.78023,                0.78939,                0.42833,                 1.0066,              0.0016688,              0.0016688,              0.0016688
                     94,                0.68264,                0.38192,                0.99439,                0.92648,                0.93857,                0.97496,                0.78851,                0.77504,                0.40228,                0.99286,              0.0016652,              0.0016652,              0.0016652
                     95,                0.65911,                0.36059,                0.99693,                 0.9304,                0.94103,                0.97602,                0.79118,                 0.7736,                0.40223,                0.99874,              0.0016616,              0.0016616,              0.0016616
                     96,                0.66208,                0.37806,                0.99659,                0.93048,                0.93366,                 0.9749,                 0.7932,                0.76564,                0.40558,                0.99047,               0.001658,               0.001658,               0.001658
                     97,                0.66351,                0.37547,                 1.0024,                0.93421,                0.92875,                0.97326,                0.78094,                0.78348,                0.43872,                0.99807,              0.0016544,              0.0016544,              0.0016544
                     98,                0.65938,                0.37231,                0.98105,                0.94072,                0.93572,                0.97138,                0.78616,                0.78135,                0.40836,                 0.9962,              0.0016508,              0.0016508,              0.0016508
                     99,                0.67576,                0.38089,                 1.0099,                0.94485,                0.92602,                0.97492,                0.78527,                0.77979,                0.41725,                 1.0014,              0.0016472,              0.0016472,              0.0016472
                    100,                 0.6651,                0.36788,                0.99185,                0.92042,                0.93779,                0.97415,                0.78851,                0.78518,                0.43139,                0.99537,              0.0016436,              0.0016436,              0.0016436
                    101,                0.66511,                 0.3641,                 0.9958,                0.94868,                0.92383,                0.97618,                0.79546,                0.77907,                0.40999,                0.99651,                0.00164,                0.00164,                0.00164
                    102,                0.66158,                0.37059,                0.99208,                0.92078,                0.94235,                 0.9767,                0.78424,                0.78186,                0.43711,                0.99653,              0.0016364,              0.0016364,              0.0016364
                    103,                0.64517,                0.36466,                0.98026,                0.92817,                0.94349,                 0.9759,                0.78612,                0.78922,                0.41164,                0.99792,              0.0016328,              0.0016328,              0.0016328
                    104,                0.66779,                0.36844,                 1.0023,                 0.9253,                0.94352,                0.97445,                0.78945,                0.77517,                0.43728,                0.99563,              0.0016292,              0.0016292,              0.0016292
                    105,                0.65628,                0.36287,                0.98958,                0.92636,                0.92718,                 0.9701,                0.78359,                0.77816,                0.43973,                0.99791,              0.0016256,              0.0016256,              0.0016256
                    106,                0.62485,                0.34472,                0.97086,                0.93633,                0.93949,                0.97664,                0.79216,                0.76917,                0.41459,                0.99511,               0.001622,               0.001622,               0.001622
                    107,                0.64771,                0.35648,                 0.9719,                0.91483,                0.92875,                0.96636,                0.78237,                0.77976,                0.44771,                0.99483,              0.0016184,              0.0016184,              0.0016184
                    108,                0.63868,                0.35137,                0.97701,                 0.9283,                0.92247,                 0.9722,                0.78308,                 0.7809,                0.41815,                0.99184,              0.0016148,              0.0016148,              0.0016148
                    109,                 0.6584,                0.35743,                0.99658,                0.92886,                0.91646,                0.97174,                0.79093,                0.77108,                0.41594,                0.99459,              0.0016112,              0.0016112,              0.0016112
                    110,                 0.6427,                0.35289,                0.98653,                0.92117,                0.91878,                0.96931,                0.78261,                0.77508,                0.45108,                0.99541,              0.0016076,              0.0016076,              0.0016076
                    111,                0.64787,                0.36229,                0.96879,                0.93518,                0.92163,                0.97526,                0.78622,                0.79007,                0.42427,                 1.0052,               0.001604,               0.001604,               0.001604
                    112,                0.64235,                0.35694,                0.98887,                0.92216,                 0.9484,                0.97217,                0.78328,                 0.7855,                0.42163,                 1.0013,              0.0016004,              0.0016004,              0.0016004
