                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     94,                0.73884,                0.42621,                0.99445,                0.92625,                0.92575,                0.97591,                0.78661,                0.79816,                0.42097,                0.97966,              0.0016652,              0.0016652,              0.0016652
                     95,                0.72619,                0.41756,                0.99919,                0.91115,                0.92875,                0.97296,                0.78195,                0.78955,                 0.4259,                0.97782,              0.0016616,              0.0016616,              0.0016616
                     96,                0.72305,                0.42604,                0.99645,                0.93476,                0.90172,                0.97582,                 0.7867,                0.79814,                0.42215,                0.97623,               0.001658,               0.001658,               0.001658
                     97,                0.72886,                0.42382,                 1.0018,                0.94466,                  0.914,                0.97758,                0.77239,                0.82036,                 0.4314,                0.99079,              0.0016544,              0.0016544,              0.0016544
                     98,                0.71816,                 0.4171,                 0.9833,                 0.9457,                0.89866,                0.97615,                 0.7863,                 0.7973,                0.40982,                0.97757,              0.0016508,              0.0016508,              0.0016508
                     99,                0.74308,                0.43485,                 1.0081,                0.93016,                0.91631,                0.97518,                0.77353,                0.79897,                0.42489,                   0.98,              0.0016472,              0.0016472,              0.0016472
                    100,                0.73364,                0.41968,                0.99932,                 0.9286,                0.92673,                0.97705,                0.77689,                 0.8187,                0.41587,                0.98088,              0.0016436,              0.0016436,              0.0016436
                    101,                0.73048,                 0.4195,                0.99609,                0.93253,                0.91683,                0.97591,                0.77697,                0.79941,                0.43581,                 0.9806,                0.00164,                0.00164,                0.00164
                    102,                 0.7254,                0.42143,                0.99554,                0.93574,                0.93025,                0.97769,                0.77202,                0.81289,                0.43714,                0.97904,              0.0016364,              0.0016364,              0.0016364
                    103,                0.71969,                0.42027,                 0.9888,                0.92504,                 0.9399,                0.97852,                0.78757,                0.78107,                0.40475,                0.97071,              0.0016328,              0.0016328,              0.0016328
                    104,                0.73555,                0.42512,                  1.008,                0.94192,                0.91648,                0.97617,                0.78046,                0.78851,                0.41974,                0.97568,              0.0016292,              0.0016292,              0.0016292
                    105,                0.73477,                0.41753,                0.99692,                0.93323,                0.92138,                0.97375,                0.77983,                0.80024,                0.43547,                 0.9799,              0.0016256,              0.0016256,              0.0016256
                    106,                0.70427,                0.39763,                0.97996,                0.92535,                0.91374,                0.97647,                0.78904,                0.79471,                0.41862,                0.97758,               0.001622,               0.001622,               0.001622
